Código,Nombre común,Nombre científico,Tipo de planta
TAX,Taray,Tamarix sp,ARBUSTO
TBA,Tejo,Taxus baccata,CONIFERA
TFO,Palma de Fortune,Trachycarpus fortunei,PALMACEA
TFR,Olivilla,Teucrium fruticans,ARBUSTO
TGA,Taray,Tamarix gallica,ARBUSTO
THX,Tuya,Thuja sp,CONIFERA
YAL,Yuca pinchuda,Yucca aloifolia,HERB_PERENNES
TIC,Tilo de hoja pequeña,Tilia cordata,FRONDOSA
TIE,Tilo,Tilia x europaea,FRONDOSA
TIP,Tilo de hojas grandes,Tilia platyphyllos,FRONDOSA
UMIV,Olmo común,Ulmus minor 'Dehesa de la Villa',FRONDOSA
TIX,Tilos,Tilia sp,FRONDOSA
TOC,Tuya occidental,Thuja occidentalis,CONIFERA
SVUC,Lilo,Syringa vulgaris 'Charles Joly',ARBUSTO
UAM,Olmo americana,Ulmus americana,FRONDOSA
UGL,Olmo de montaña,Ulmus glabra,FRONDOSA
UHO,Olmo de Holanda,Ulmus x hollandica,FRONDOSA
UJA,Olmo japonés/Ulmus japonica,Ulmus davidiana var. japonica,FRONDOSA
ULX,Olmos,Ulmus sp,FRONDOSA
UMI,Olmo común,Ulmus minor,FRONDOSA
UPA,Olmo chino,Ulmus parvifolia,FRONDOSA
UTH,Olmo de corcho,Ulmus thomasii,FRONDOSA
VBU,Verónica/Veronica buxifolia,Hebe buxifolia,ARBUSTO
VIX,Viburnos,Viburnum sp,ARBUSTO
VMA,Hierba doncella,Vinca major,TAPIZANTE/TREPADORA
VTI,Durillo,Viburnum tinus,ARBUSTO
ACDI,Arce del diablo,Acer diabolicum,FRONDOSA
YUZ,Yucas,Yucca sp,HERB_PERENNES
ZSE,Zelkova japonesa,Zelkova serrata,FRONDOSA
PIH,Pitosporo,Pittosporum heterophyllum,ARBUSTO
AAL,Ailanto,Ailanthus altissima,FRONDOSA
AAM,Pita,Agave americana,CACTACEA/SUCULENTA
ABA,Abeto blanco,Abies alba,CONIFERA
ABP,Pinsapo,Abies pinsapo,CONIFERA
ABX,Abeto,Abies sp,CONIFERA
ACA,Arce campestre,Acer campestre,FRONDOSA
ACX,Acacias,Acacia sp,FRONDOSA
ADE,Mimosa plateada,Acacia dealbata,FRONDOSA
ACPF,Arce forresti,Acer pectinatum subsp. forrestii,FRONDOSA
AFL,Abelia floribunda/Abelia floribunda,Vesalea floribunda,ARBUSTO
AGR,Abelia,Abelia x grandiflora,ARBUSTO
AGX,Pitas,Agave sp,CACTACEA/SUCULENTA
